openalex_topic_id,openalex_topic_name,for_field_code,for_field_label,is_primary,confidence,match_method,notes
10010,"Obesity, Physical Activity, Diet",420602,Health equity,False,0.5,constrained_lexical,
10010,"Obesity, Physical Activity, Diet",420603,Health promotion,False,0.5,constrained_lexical,
10010,"Obesity, Physical Activity, Diet",420605,Preventative health care,False,0.333,constrained_lexical,
10010,"Obesity, Physical Activity, Diet",420606,Social determinants of health,False,0.333,constrained_lexical,
10011,"Literature: history, themes, analysis",470501,African literature,True,0.5,constrained_lexical,
10011,"Literature: history, themes, analysis",470502,Australian literature (excl. Aboriginal and Torres Strait Islander literature),False,0.143,constrained_lexical,
10011,"Literature: history, themes, analysis",470503,Book history,False,0.5,constrained_lexical,
10011,"Literature: history, themes, analysis",470504,British and Irish literature,False,0.333,constrained_lexical,
10011,"Literature: history, themes, analysis",470505,Central and Eastern European literature (incl. Russian),False,0.167,constrained_lexical,
10011,"Literature: history, themes, analysis",470506,Children's literature,False,0.5,constrained_lexical,
10012,Genetic diversity and population structure,310510,Molecular evolution,True,1.0,constrained_lexical,
10012,Genetic diversity and population structure,310501,Anthropological genetics,False,0.5,constrained_lexical,
10012,Genetic diversity and population structure,310503,Developmental genetics (incl. sex determination),False,0.2,constrained_lexical,
10012,Genetic diversity and population structure,310505,Gene expression (incl. microarray and other genome-wide approaches),False,0.125,constrained_lexical,
10012,Genetic diversity and population structure,310507,Genetic immunology,False,0.5,constrained_lexical,
10012,Genetic diversity and population structure,310508,Genome structure and regulation,False,0.333,constrained_lexical,
10013,Asymmetric Synthesis and Catalysis,340503,Organic chemical synthesis,True,0.333,constrained_lexical,
10013,Asymmetric Synthesis and Catalysis,340501,Free radical chemistry,False,0.0,constrained_lexical,
10013,Asymmetric Synthesis and Catalysis,340502,Natural products and bioactive compounds,False,0.0,constrained_lexical,
10013,Asymmetric Synthesis and Catalysis,340504,Organic green chemistry,False,0.0,constrained_lexical,
10013,Asymmetric Synthesis and Catalysis,340505,Physical organic chemistry,False,0.0,constrained_lexical,
10013,Asymmetric Synthesis and Catalysis,340599,Organic chemistry not elsewhere classified,False,0.0,constrained_lexical,
10014,Plant Stress Responses and Tolerance,310803,Plant cell and molecular biology,True,0.5,constrained_lexical,
10014,Plant Stress Responses and Tolerance,310802,Plant biochemistry,False,0.5,constrained_lexical,
10014,Plant Stress Responses and Tolerance,310804,Plant developmental and reproductive biology,False,0.25,constrained_lexical,
10014,Plant Stress Responses and Tolerance,310805,Plant pathology,False,0.5,constrained_lexical,
10014,Plant Stress Responses and Tolerance,310806,Plant physiology,False,0.5,constrained_lexical,
10014,Plant Stress Responses and Tolerance,310899,Plant biology not elsewhere classified,False,0.2,constrained_lexical,
10015,Genomics and Phylogenetic Studies,310101,Analytical biochemistry,True,0.0,below_floor,
10015,Genomics and Phylogenetic Studies,310102,"Cell development, proliferation and death",False,0.0,constrained_lexical,
10015,Genomics and Phylogenetic Studies,310103,Cell metabolism,False,0.0,constrained_lexical,
10015,Genomics and Phylogenetic Studies,310104,Cell neurochemistry,False,0.0,constrained_lexical,
10015,Genomics and Phylogenetic Studies,310105,"Cellular interactions (incl. adhesion, matrix, cell wall)",False,0.0,constrained_lexical,
10015,Genomics and Phylogenetic Studies,310106,Enzymes,False,0.0,constrained_lexical,
10016,Adsorption and biosorption for pollutant removal,370704,Surface water hydrology,True,0.667,constrained_lexical,
10016,Adsorption and biosorption for pollutant removal,370701,Contaminant hydrology,False,0.5,constrained_lexical,
10016,Adsorption and biosorption for pollutant removal,370702,Ecohydrology,False,0.0,constrained_lexical,
10016,Adsorption and biosorption for pollutant removal,370703,Groundwater hydrology,False,0.0,constrained_lexical,
10016,Adsorption and biosorption for pollutant removal,370705,Urban hydrology,False,0.0,constrained_lexical,
10016,Adsorption and biosorption for pollutant removal,370799,Hydrology not elsewhere classified,False,0.0,constrained_lexical,
10017,Geology and Paleoclimatology Research,370105,Atmospheric dynamics,True,1.0,constrained_lexical,
10017,Geology and Paleoclimatology Research,370103,Atmospheric aerosols,False,0.5,constrained_lexical,
10017,Geology and Paleoclimatology Research,370104,"Atmospheric composition, chemistry and processes",False,0.25,constrained_lexical,
10017,Geology and Paleoclimatology Research,370106,Atmospheric radiation,False,0.5,constrained_lexical,
10017,Geology and Paleoclimatology Research,370199,Atmospheric sciences not elsewhere classified,False,0.2,constrained_lexical,
10017,Geology and Paleoclimatology Research,370101,Adverse weather events,False,0.0,constrained_lexical,
10018,Advancements in Battery Materials,400804,Electrical energy storage,True,0.667,constrained_lexical,
10018,Advancements in Battery Materials,400803,"Electrical energy generation (incl. renewables, excl. photovoltaics)",False,0.143,constrained_lexical,
10018,Advancements in Battery Materials,400805,"Electrical energy transmission, networks and systems",False,0.2,constrained_lexical,
10018,Advancements in Battery Materials,400801,Circuits and systems,False,0.0,constrained_lexical,
10018,Advancements in Battery Materials,400802,Electrical circuits and systems,False,0.0,constrained_lexical,
10018,Advancements in Battery Materials,400806,Electrical machines and drives,False,0.0,constrained_lexical,
10019,Corporate Finance and Governance,350103,Financial accounting,True,0.5,constrained_lexical,
10019,Corporate Finance and Governance,350101,Accounting theory and standards,False,0.0,constrained_lexical,
10019,Corporate Finance and Governance,350102,Auditing and accountability,False,0.0,constrained_lexical,
10019,Corporate Finance and Governance,350104,International accounting,False,0.0,constrained_lexical,
10019,Corporate Finance and Governance,350105,Management accounting,False,0.0,constrained_lexical,
10019,Corporate Finance and Governance,350106,Not-for-profit accounting and accountability,False,0.0,constrained_lexical,
10020,Quantum Information and Cryptography,460203,Evolutionary computation,True,0.5,constrained_lexical,
10020,Quantum Information and Cryptography,460204,Fuzzy computation,False,0.5,constrained_lexical,
10020,Quantum Information and Cryptography,460201,Artificial life and complex adaptive systems,False,0.0,constrained_lexical,
10020,Quantum Information and Cryptography,460202,Autonomous agents and multiagent systems,False,0.0,constrained_lexical,
10020,Quantum Information and Cryptography,460205,Intelligent robotics,False,0.0,constrained_lexical,
10020,Quantum Information and Cryptography,460206,Knowledge representation and reasoning,False,0.0,constrained_lexical,
10021,EFL/ESL Teaching and Learning,470402,Child language acquisition,True,0.667,constrained_lexical,
10021,EFL/ESL Teaching and Learning,470407,Language documentation and description,False,0.333,constrained_lexical,
10021,EFL/ESL Teaching and Learning,470401,Applied linguistics and educational linguistics,False,0.0,constrained_lexical,
10021,EFL/ESL Teaching and Learning,470403,Computational linguistics,False,0.0,constrained_lexical,
10021,EFL/ESL Teaching and Learning,470404,Corpus linguistics,False,0.0,constrained_lexical,
10021,EFL/ESL Teaching and Learning,470405,Discourse and pragmatics,False,0.0,constrained_lexical,
10022,Semiconductor Quantum Structures and Devices,510202,Lasers and quantum electronics,True,0.667,constrained_lexical,
10022,Semiconductor Quantum Structures and Devices,510299,"Atomic, molecular and optical physics not elsewhere classified",False,0.286,constrained_lexical,
10022,Semiconductor Quantum Structures and Devices,510201,Atomic and molecular physics,False,0.333,constrained_lexical,
10022,Semiconductor Quantum Structures and Devices,510204,"Photonics, optoelectronics and optical communications",False,0.25,constrained_lexical,
10022,Semiconductor Quantum Structures and Devices,510205,Terahertz physics,False,0.5,constrained_lexical,
10022,Semiconductor Quantum Structures and Devices,510203,Nonlinear optics and spectroscopy,False,0.0,constrained_lexical,
10023,Schizophrenia research and treatment,320213,Medical genetics (excl. cancer genetics),True,0.25,constrained_lexical,
10023,Schizophrenia research and treatment,320201,Anaesthesiology,False,0.0,constrained_lexical,
10023,Schizophrenia research and treatment,320202,Clinical chemistry (incl. diagnostics),False,0.0,constrained_lexical,
10023,Schizophrenia research and treatment,320203,Clinical microbiology,False,0.0,constrained_lexical,
10023,Schizophrenia research and treatment,320204,Clinimetrics,False,0.0,constrained_lexical,
10023,Schizophrenia research and treatment,320205,Dermatology,False,0.0,constrained_lexical,
10024,TiO2 Photocatalysis and Solar Cells,410401,Conservation and biodiversity,True,0.0,below_floor,
10024,TiO2 Photocatalysis and Solar Cells,410402,Environmental assessment and monitoring,False,0.0,constrained_lexical,
10024,TiO2 Photocatalysis and Solar Cells,410403,Environmental education and extension,False,0.0,constrained_lexical,
10024,TiO2 Photocatalysis and Solar Cells,410404,Environmental management,False,0.0,constrained_lexical,
10024,TiO2 Photocatalysis and Solar Cells,410405,Environmental rehabilitation and restoration,False,0.0,constrained_lexical,
10024,TiO2 Photocatalysis and Solar Cells,410406,Natural resource management,False,0.0,constrained_lexical,
10025,Black Holes and Theoretical Physics,510702,Field theory and string theory,True,1.0,constrained_lexical,
10025,Black Holes and Theoretical Physics,510701,Astroparticle physics and particle cosmology,False,0.25,constrained_lexical,
10025,Black Holes and Theoretical Physics,510703,Particle physics,False,0.5,constrained_lexical,
10025,Black Holes and Theoretical Physics,510799,Particle and high energy physics not elsewhere classified,False,0.143,constrained_lexical,
10026,"Galaxies: Formation, Evolution, Phenomena",510103,Cosmology and extragalactic astronomy,True,0.333,constrained_lexical,
10026,"Galaxies: Formation, Evolution, Phenomena",510106,High energy astrophysics and galactic cosmic rays,False,0.167,constrained_lexical,
10026,"Galaxies: Formation, Evolution, Phenomena",510109,Stellar astronomy and planetary systems,False,0.25,constrained_lexical,
10026,"Galaxies: Formation, Evolution, Phenomena",510101,Astrobiology,False,0.0,constrained_lexical,
10026,"Galaxies: Formation, Evolution, Phenomena",510102,Astronomical instrumentation,False,0.0,constrained_lexical,
10026,"Galaxies: Formation, Evolution, Phenomena",510104,Galactic astronomy,False,0.0,constrained_lexical,
10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",320507,Metabolic medicine,True,0.5,constrained_lexical,
10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",320501,Medical biochemistry - amino acids and metabolites,False,0.0,constrained_lexical,
10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",320502,Medical biochemistry - carbohydrates,False,0.0,constrained_lexical,
10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",320503,Medical biochemistry - inorganic elements and compounds,False,0.0,constrained_lexical,
10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",320504,Medical biochemistry - lipids,False,0.0,constrained_lexical,
10027,"Diabetes, Cardiovascular Risks, and Lipoproteins",320505,Medical biochemistry - nucleic acids,False,0.0,constrained_lexical,
10028,Topic Modeling,460208,Natural language processing,True,1.0,constrained_lexical,
10028,Topic Modeling,460201,Artificial life and complex adaptive systems,False,0.2,constrained_lexical,
10028,Topic Modeling,460202,Autonomous agents and multiagent systems,False,0.25,constrained_lexical,
10028,Topic Modeling,460206,Knowledge representation and reasoning,False,0.333,constrained_lexical,
10028,Topic Modeling,460207,Modelling and simulation,False,0.5,constrained_lexical,
10028,Topic Modeling,460212,Speech recognition,False,0.5,constrained_lexical,
10029,Climate variability and models,370201,Climate change processes,True,0.667,constrained_lexical,
10029,Climate variability and models,370203,Greenhouse gas inventories and fluxes,False,0.5,constrained_lexical,
10029,Climate variability and models,370299,Climate change science not elsewhere classified,False,0.333,constrained_lexical,
10029,Climate variability and models,370202,Climatology,False,0.0,constrained_lexical,
10030,Electrocatalysts for Energy Conversion,410401,Conservation and biodiversity,True,0.0,below_floor,
10030,Electrocatalysts for Energy Conversion,410402,Environmental assessment and monitoring,False,0.0,constrained_lexical,
10030,Electrocatalysts for Energy Conversion,410403,Environmental education and extension,False,0.0,constrained_lexical,
10030,Electrocatalysts for Energy Conversion,410404,Environmental management,False,0.0,constrained_lexical,
10030,Electrocatalysts for Energy Conversion,410405,Environmental rehabilitation and restoration,False,0.0,constrained_lexical,
10030,Electrocatalysts for Energy Conversion,410406,Natural resource management,False,0.0,constrained_lexical,
10031,T-cell and B-cell Immunology,320402,"Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)",True,0.9,contains_match,
10031,T-cell and B-cell Immunology,320403,Autoimmunity,False,1.0,constrained_lexical,
10031,T-cell and B-cell Immunology,320404,Cellular immunology,False,0.5,constrained_lexical,
10031,T-cell and B-cell Immunology,320405,Humoural immunology and immunochemistry,False,0.333,constrained_lexical,
10031,T-cell and B-cell Immunology,320406,Immunogenetics (incl. genetic immunology),False,0.25,constrained_lexical,
10031,T-cell and B-cell Immunology,320407,Innate immunity,False,0.5,constrained_lexical,
10032,Marine and coastal ecosystems,370801,Biological oceanography,True,0.5,constrained_lexical,
10032,Marine and coastal ecosystems,370802,Chemical oceanography,False,0.0,constrained_lexical,
10032,Marine and coastal ecosystems,370803,Physical oceanography,False,0.0,constrained_lexical,
10032,Marine and coastal ecosystems,370899,Oceanography not elsewhere classified,False,0.0,constrained_lexical,
10033,Concrete and Cement Materials Research,400505,Construction materials,True,0.5,constrained_lexical,
10033,Concrete and Cement Materials Research,400501,Architectural engineering,False,0.0,constrained_lexical,
10033,Concrete and Cement Materials Research,400502,Civil geotechnical engineering,False,0.0,constrained_lexical,
10033,Concrete and Cement Materials Research,400503,Complex civil systems,False,0.0,constrained_lexical,
10033,Concrete and Cement Materials Research,400504,Construction engineering,False,0.0,constrained_lexical,
10033,Concrete and Cement Materials Research,400506,Earthquake engineering,False,0.0,constrained_lexical,
10034,"Syntax, Semantics, Linguistic Variation",470409,"Linguistic structures (incl. phonology, morphology and syntax)",True,0.667,constrained_lexical,
10034,"Syntax, Semantics, Linguistic Variation",470401,Applied linguistics and educational linguistics,False,0.333,constrained_lexical,
10034,"Syntax, Semantics, Linguistic Variation",470402,Child language acquisition,False,0.333,constrained_lexical,
10034,"Syntax, Semantics, Linguistic Variation",470403,Computational linguistics,False,0.5,constrained_lexical,
10034,"Syntax, Semantics, Linguistic Variation",470404,Corpus linguistics,False,0.5,constrained_lexical,
10034,"Syntax, Semantics, Linguistic Variation",470405,Discourse and pragmatics,False,0.5,constrained_lexical,
10035,Phytochemicals and Antioxidant Activities,320503,Medical biochemistry - inorganic elements and compounds,True,0.2,constrained_lexical,
10035,Phytochemicals and Antioxidant Activities,320501,Medical biochemistry - amino acids and metabolites,False,0.0,constrained_lexical,
10035,Phytochemicals and Antioxidant Activities,320502,Medical biochemistry - carbohydrates,False,0.0,constrained_lexical,
10035,Phytochemicals and Antioxidant Activities,320504,Medical biochemistry - lipids,False,0.0,constrained_lexical,
10035,Phytochemicals and Antioxidant Activities,320505,Medical biochemistry - nucleic acids,False,0.0,constrained_lexical,
10035,Phytochemicals and Antioxidant Activities,320506,Medical biochemistry - proteins and peptides (incl. medical proteomics),False,0.0,constrained_lexical,
10036,Advanced Neural Network Applications,460304,Computer vision,True,1.0,constrained_lexical,
10036,Advanced Neural Network Applications,460399,Computer vision and multimedia computation not elsewhere classified,False,0.286,constrained_lexical,
10036,Advanced Neural Network Applications,460305,Image and video coding,False,0.333,constrained_lexical,
10036,Advanced Neural Network Applications,460306,Image processing,False,0.5,constrained_lexical,
10036,Advanced Neural Network Applications,460308,Pattern recognition,False,0.5,constrained_lexical,
10036,Advanced Neural Network Applications,460301,Active sensing,False,0.0,constrained_lexical,
10037,Physics of Superconductivity and Magnetism,510404,Electronic and magnetic properties of condensed matter; superconductivity,True,0.333,constrained_lexical,
10037,Physics of Superconductivity and Magnetism,510403,Condensed matter modelling and density functional theory,False,0.167,constrained_lexical,
10037,Physics of Superconductivity and Magnetism,510499,Condensed matter physics not elsewhere classified,False,0.167,constrained_lexical,
10037,Physics of Superconductivity and Magnetism,510401,Condensed matter characterisation technique development,False,0.0,constrained_lexical,
10037,Physics of Superconductivity and Magnetism,510402,Condensed matter imaging,False,0.0,constrained_lexical,
10037,Physics of Superconductivity and Magnetism,510405,Soft condensed matter,False,0.0,constrained_lexical,
10038,Tuberculosis Research and Epidemiology,320213,Medical genetics (excl. cancer genetics),True,0.25,constrained_lexical,
10038,Tuberculosis Research and Epidemiology,320201,Anaesthesiology,False,0.0,constrained_lexical,
10038,Tuberculosis Research and Epidemiology,320202,Clinical chemistry (incl. diagnostics),False,0.0,constrained_lexical,
10038,Tuberculosis Research and Epidemiology,320203,Clinical microbiology,False,0.0,constrained_lexical,
10038,Tuberculosis Research and Epidemiology,320204,Clinimetrics,False,0.0,constrained_lexical,
10038,Tuberculosis Research and Epidemiology,320205,Dermatology,False,0.0,constrained_lexical,
10039,"Stellar, planetary, and galactic studies",510109,Stellar astronomy and planetary systems,True,0.75,constrained_lexical,
10039,"Stellar, planetary, and galactic studies",510106,High energy astrophysics and galactic cosmic rays,False,0.333,constrained_lexical,
10039,"Stellar, planetary, and galactic studies",510107,Planetary science (excl. solar system and planetary geology),False,0.333,constrained_lexical,
10039,"Stellar, planetary, and galactic studies",510102,Astronomical instrumentation,False,0.5,constrained_lexical,
10039,"Stellar, planetary, and galactic studies",510104,Galactic astronomy,False,0.5,constrained_lexical,
10039,"Stellar, planetary, and galactic studies",510199,Astronomical sciences not elsewhere classified,False,0.2,constrained_lexical,
10040,Adaptive Control of Nonlinear Systems,400703,Autonomous vehicle systems,True,0.667,constrained_lexical,
10040,Adaptive Control of Nonlinear Systems,400799,"Control engineering, mechatronics and robotics not elsewhere classified",False,0.286,constrained_lexical,
10040,Adaptive Control of Nonlinear Systems,400705,Control engineering,False,0.5,constrained_lexical,
10040,Adaptive Control of Nonlinear Systems,400706,Field robotics,False,0.5,constrained_lexical,
10040,Adaptive Control of Nonlinear Systems,400707,Manufacturing robotics,False,0.5,constrained_lexical,
10040,Adaptive Control of Nonlinear Systems,400709,Medical robotics,False,0.5,constrained_lexical,
10041,COVID-19 Clinical Research Studies,320202,Clinical chemistry (incl. diagnostics),True,0.25,constrained_lexical,
10041,COVID-19 Clinical Research Studies,320203,Clinical microbiology,False,0.5,constrained_lexical,
10041,COVID-19 Clinical Research Studies,320224,Rural clinical health,False,0.333,constrained_lexical,
10041,COVID-19 Clinical Research Studies,320299,Clinical sciences not elsewhere classified,False,0.2,constrained_lexical,
10041,COVID-19 Clinical Research Studies,320201,Anaesthesiology,False,0.0,constrained_lexical,
10041,COVID-19 Clinical Research Studies,320204,Clinimetrics,False,0.0,constrained_lexical,
10042,Neural and Behavioral Psychology Studies,320901,Autonomic nervous system,True,0.0,below_floor,
10042,Neural and Behavioral Psychology Studies,320902,Cellular nervous system,False,0.0,constrained_lexical,
10042,Neural and Behavioral Psychology Studies,320903,Central nervous system,False,0.0,constrained_lexical,
10042,Neural and Behavioral Psychology Studies,320904,Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience),False,0.0,constrained_lexical,
10042,Neural and Behavioral Psychology Studies,320905,Neurology and neuromuscular diseases,False,0.0,constrained_lexical,
10042,Neural and Behavioral Psychology Studies,320906,Peripheral nervous system,False,0.0,constrained_lexical,
10043,Substance Abuse Treatment and Outcomes,420207,Major global burdens of disease,True,0.75,constrained_lexical,
10043,Substance Abuse Treatment and Outcomes,420201,Behavioural epidemiology,False,1.0,constrained_lexical,
10043,Substance Abuse Treatment and Outcomes,420202,Disease surveillance,False,0.5,constrained_lexical,
10043,Substance Abuse Treatment and Outcomes,420203,Environmental epidemiology,False,0.5,constrained_lexical,
10043,Substance Abuse Treatment and Outcomes,420206,Forensic epidemiology,False,0.5,constrained_lexical,
10043,Substance Abuse Treatment and Outcomes,420208,Nutritional epidemiology,False,0.5,constrained_lexical,
10044,Protein Structure and Dynamics,310112,Structural biology (incl. macromolecular modelling),True,0.4,constrained_lexical,
10044,Protein Structure and Dynamics,310106,Enzymes,False,1.0,constrained_lexical,
10044,Protein Structure and Dynamics,310108,Protein trafficking,False,0.5,constrained_lexical,
10044,Protein Structure and Dynamics,310101,Analytical biochemistry,False,0.0,constrained_lexical,
10044,Protein Structure and Dynamics,310102,"Cell development, proliferation and death",False,0.0,constrained_lexical,
10044,Protein Structure and Dynamics,310103,Cell metabolism,False,0.0,constrained_lexical,
10045,Organic Electronics and Photovoltaics,400803,"Electrical energy generation (incl. renewables, excl. photovoltaics)",True,0.143,constrained_lexical,
10045,Organic Electronics and Photovoltaics,400808,Photovoltaic power systems,False,0.333,constrained_lexical,
10045,Organic Electronics and Photovoltaics,400801,Circuits and systems,False,0.0,constrained_lexical,
10045,Organic Electronics and Photovoltaics,400802,Electrical circuits and systems,False,0.0,constrained_lexical,
10045,Organic Electronics and Photovoltaics,400804,Electrical energy storage,False,0.0,constrained_lexical,
10045,Organic Electronics and Photovoltaics,400805,"Electrical energy transmission, networks and systems",False,0.0,constrained_lexical,
10046,Stability and Control of Uncertain Systems,400711,"Simulation, modelling, and programming of mechatronics systems",True,0.4,constrained_lexical,
10046,Stability and Control of Uncertain Systems,400703,Autonomous vehicle systems,False,0.333,constrained_lexical,
10046,Stability and Control of Uncertain Systems,400705,Control engineering,False,0.5,constrained_lexical,
10046,Stability and Control of Uncertain Systems,400799,"Control engineering, mechatronics and robotics not elsewhere classified",False,0.143,constrained_lexical,
10046,Stability and Control of Uncertain Systems,400701,Assistive robots and technology,False,0.0,constrained_lexical,
10046,Stability and Control of Uncertain Systems,400702,Automation engineering,False,0.0,constrained_lexical,
10047,Financial Markets and Investment Strategies,350205,Household finance and financial literacy,True,0.5,constrained_lexical,
10047,Financial Markets and Investment Strategies,350208,Investment and risk management,False,0.667,constrained_lexical,
10047,Financial Markets and Investment Strategies,350209,Not-for-profit finance and risk,False,0.5,constrained_lexical,
10047,Financial Markets and Investment Strategies,350299,"Banking, finance and investment not elsewhere classified",False,0.333,constrained_lexical,
10047,Financial Markets and Investment Strategies,350201,Environment and climate finance,False,0.333,constrained_lexical,
10047,Financial Markets and Investment Strategies,350202,Finance,False,1.0,constrained_lexical,
10048,Particle physics theoretical and experimental studies,510703,Particle physics,True,0.9,contains_match,
10048,Particle physics theoretical and experimental studies,510799,Particle and high energy physics not elsewhere classified,False,0.571,constrained_lexical,
10048,Particle physics theoretical and experimental studies,510701,Astroparticle physics and particle cosmology,False,0.5,constrained_lexical,
10048,Particle physics theoretical and experimental studies,510702,Field theory and string theory,False,0.0,constrained_lexical,
10049,Magnetic properties of thin films,510201,Atomic and molecular physics,True,0.0,below_floor,
10049,Magnetic properties of thin films,510202,Lasers and quantum electronics,False,0.0,constrained_lexical,
10049,Magnetic properties of thin films,510203,Nonlinear optics and spectroscopy,False,0.0,constrained_lexical,
10049,Magnetic properties of thin films,510204,"Photonics, optoelectronics and optical communications",False,0.0,constrained_lexical,
10049,Magnetic properties of thin films,510205,Terahertz physics,False,0.0,constrained_lexical,
